id,name,host_id,host_name,neighbourhood_group,neighbourhood,room_type
2539,Clean & quiet apt home by the park,2787,John,Brooklyn,Kensington,Private room
2595,Skylit Midtown Castle,2845,Jennifer,Manhattan,Midtown,Entire home/apt
3647,THE VILLAGE OF HARLEM....NEW YORK !,4632,Elisabeth,Manhattan,Harlem,Private room
3831,Cozy Entire Floor of Brownstone,4869,LisaRoxanne,Brooklyn,Clinton Hill,Entire home/apt
5022,Entire Apt: Spacious Studio/Loft by central park,7192,Laura,Manhattan,East Harlem,Entire home/apt
5099,Large Cozy 1 BR Apartment In Midtown East,7322,Chris,Manhattan,Murray Hill,Entire home/apt
5121,BlissArtsSpace!,7356,Garon,Brooklyn,Bedford-Stuyvesant,Private room
5178,Large Furnished Room Near B'way ,8967,Shunichi,Manhattan,Hell's Kitchen,Private room
5203,Cozy Clean Guest Room - Family Apt,7490,MaryEllen,Manhattan,Upper West Side,Private room
5238,Cute & Cozy Lower East Side 1 bdrm,7549,Ben,Manhattan,Chinatown,Entire home/apt
5295,Beautiful 1br on Upper West Side,7702,Lena,Manhattan,Upper West Side,Entire home/apt
5441,Central Manhattan/near Broadway,7989,Kate,Manhattan,Hell's Kitchen,Private room
5803,"Lovely Room 1, Garden, Best Area, Legal rental",9744,Laurie,Brooklyn,South Slope,Private room
6021,Wonderful Guest Bedroom in Manhattan for SINGLES,11528,Claudio,Manhattan,Upper West Side,Private room
6090,West Village Nest - Superhost,11975,Alina,Manhattan,West Village,Entire home/apt
6848,Only 2 stops to Manhattan studio,15991,Allen & Irina,Brooklyn,Williamsburg,Entire home/apt
7097,Perfect for Your Parents + Garden,17571,Jane,Brooklyn,Fort Greene,Entire home/apt
7322,Chelsea Perfect,18946,Doti,Manhattan,Chelsea,Private room
7726,Hip Historic Brownstone Apartment with Backyard,20950,Adam And Charity,Brooklyn,Crown Heights,Entire home/apt
7750,Huge 2 BR Upper East  Cental Park,17985,Sing,Manhattan,East Harlem,Entire home/apt
7801,Sweet and Spacious Brooklyn Loft,21207,Chaya,Brooklyn,Williamsburg,Entire home/apt
8024,CBG CtyBGd HelpsHaiti rm#1:1-4,22486,Lisel,Brooklyn,Park Slope,Private room
8025,CBG Helps Haiti Room#2.5,22486,Lisel,Brooklyn,Park Slope,Private room
8110,CBG Helps Haiti Rm #2,22486,Lisel,Brooklyn,Park Slope,Private room
8490,"MAISON DES SIRENES1,bohemian apartment",25183,Nathalie,Brooklyn,Bedford-Stuyvesant,Entire home/apt
8505,Sunny Bedroom Across Prospect Park,25326,Gregory,Brooklyn,Windsor Terrace,Private room
8700,Magnifique Suite au N de Manhattan - vue Cloitres,26394,Claude & Sophie,Manhattan,Inwood,Private room
9357,Midtown Pied-a-terre,30193,Tommi,Manhattan,Hell's Kitchen,Entire home/apt
9518,"SPACIOUS, LOVELY FURNISHED MANHATTAN BEDROOM",31374,Shon,Manhattan,Inwood,Private room
9657,Modern 1 BR / NYC / EAST VILLAGE,21904,Dana,Manhattan,East Village,Entire home/apt
9668,front room/double bed,32294,Ssameer Or Trip,Manhattan,Harlem,Private room
9704,Spacious 1 bedroom in luxe building,32045,Teri,Manhattan,Harlem,Private room
9782,Loft in Williamsburg Area w/ Roof,32169,Andrea,Brooklyn,Greenpoint,Private room
9783,back room/bunk beds,32294,Ssameer Or Trip,Manhattan,Harlem,Private room
10452,Large B&B Style rooms,35935,Angela,Brooklyn,Bedford-Stuyvesant,Private room
10962,"Lovely room 2 & garden; Best area, Legal rental",9744,Laurie,Brooklyn,South Slope,Private room
11452,Clean and Quiet in Brooklyn,7355,Vt,Brooklyn,Bedford-Stuyvesant,Private room
11708,Cute apt in artist's home,44145,Tyrome,Brooklyn,Bushwick,Entire home/apt
11943,Country space in the city,45445,Harriet,Brooklyn,Flatbush,Private room
12048,LowerEastSide apt share shortterm 1,7549,Ben,Manhattan,Lower East Side,Shared room
12192,ENJOY Downtown NYC!,46978,Edward,Manhattan,East Village,Private room
12299,Beautiful Sunny Park Slope Brooklyn,47610,Abdul,Brooklyn,South Slope,Entire home/apt
12303,1bdr w private bath. in lofty apt,47618,Yolande,Brooklyn,Fort Greene,Private room
12318,West Side Retreat,16800,Cyn,Manhattan,Upper West Side,Private room
12343,BEST BET IN HARLEM,47727,Earl,Manhattan,Harlem,Entire home/apt
12627,Entire apartment in central Brooklyn neighborhood.,49670,Rana,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt
12937,"1 Stop fr. Manhattan! Private Suite,Landmark Block",50124,Orestes,Queens,Long Island City,Private room
12940,Charming Brownstone 3 - Near PRATT,50148,Adreinne,Brooklyn,Bedford-Stuyvesant,Entire home/apt
